NCM;CNAE
29269012;20291
29309088;20291
29333925;20291
29335923;21106
29349939;20291
32082030;20711
32091020;20711
38089352;20517
38248190;20991
39039090;20312
39053000;20312
39100030;20321
39119023;20312
39241000;22293
39251000;22293
40103100;22196
40119210;22111
43021910;14142
48022010;17214
11032000;10694
16055700;10201
28061010;20118
28121021;20193
28366000;20193
28444090;20193
28530090;20193
29037739;20291
29042049;20291
29049030;20291
29072100;20291
29182220;21106
29209069;20291
29291021;20223
29349951;20517
29411010;21106
30021015;21220
30039052;21220
30042072;21211
30043100;21211
32061990;20193
34029031;20614
38249029;19322
39094099;20321
42023200;15297
2031900;10121
3019210;3221
3074911;10201
4069010;10520
5029020;10112
7133590;1211
16041390;10201
20085000;10317
28111910;20193
28273500;20193
28273960;20193
28332100;20193
28415020;20193
28419030;20193
28499010;20193
29153932;20291
29156012;20291
29214929;20291
29215119;20291
29337910;20291
29362590;21106
29396200;21106
30021015;21211
30021016;21220
30032019;21211
30039071;21211
30045050;21220
31054000;20126
38089299;20517
40169910;22196
47050000;17109
1064100;1555
2045000;10112
2091011;10121
3022400;3213
3025300;3213
3035600;10201
3038942;10201
3048300;10201
3061790;10201
7133190;1199
12122900;3213
19041000;10694
21011190;10821
21069030;10996
25182000;23923
26040000;7294
28256020;20193
28352200;20193
29173300;20291
29211912;20291
29214221;20291
29269011;20291
29269021;20291
29304010;20932
29312000;20291
29339996;20291
30021031;21211
30034050;21211
30044050;21220
30049071;21211
30062000;21238
32029029;20193
38019000;23991
38089329;20517
39159000;22293
39172100;22293
39221000;22293
40021110;20339
3024600;3221
3074919;10201
7095900;1211
20019000;10325
23012090;10201
25309010;8916
26139010;7294
29037711;20291
29121912;20291
29163400;20291
29214650;20291
29280011;20291
29291030;20291
29333330;20291
29337220;20291
29372359;21106
30021038;21220
30029093;21106
30034020;21220
38249054;20991
39129039;20291
39173210;22234
40169510;22196
44072500;16102
1069000;1598
6049000;1229
7133319;1199
17022000;10724
20060000;10937
20081900;10317
20088000;10317
24013000;12107
25070010;23991
29029020;20215
29081915;20291
29124941;20291
29142920;20291
29189911;20291
29239030;20932
29270029;20291
29309049;20291
29329993;20291
30021033;21220
30033915;21220
30033937;21220
30042069;21211
30043915;21220
37079010;20991
39051200;20312
39173229;22234
41019030;10112
44083190;16218
3038910;10201
3045400;10201
3062990;3221
4012090;10511
9061100;1393
16055600;10961
20039000;10325
25083000;8100
28121023;20193
29029010;20291
29032200;20291
29038230;20291
29241230;20517
29242959;20291
29349111;20291
30039022;21220
30043936;21220
38151290;20941
40081900;22196
42033000;14142
2061000;10112
3036990;10201
3044910;10201
7115100;10325
9093200;10953
12073010;1415
21069040;10996
25172000;8100
25231000;23206
28299011;20193
28334010;20193
28499020;20193
29051210;20291
29122990;20291
29146990;20291
29349913;20291
30049034;21211
30049091;21211
33029090;20932
36020000;20924
38247490;20991
38249013;20991
38249085;20991
39081021;20312
39174010;22234
39202090;22218
44031000;16102
1041019;1539
3022200;3221
3031300;10201
3074100;3221
3083000;3221
7096000;1211
8027000;1334
12129990;10317
17039000;10716
24031100;12204
25151210;8100
25309030;8916
28352970;20193
28419090;20193
29033929;20291
29041030;20291
29051921;20291
29094310;20291
29212910;20291
29241919;20291
29349131;20291
29362190;21106
30042091;21211
30049039;21211
32081020;20711
33074100;20622
38160021;23419
39205100;22218
40091210;22196
3062200;3116
8024200;1334
9042100;1393
15043000;10431
16024900;10961
23069090;10414
28011000;20118
28251010;20193
28353930;20193
28369200;20193
28371911;20193
29033919;20291
29339142;20291
29339912;20291
30032029;21211
37025600;20991
38123019;20932
38237020;20291
39059990;20312
39239000;22226
39269061;22293
40012920;2209
40059110;22196
40093210;22196
40149090;22196
47073000;17214
1022919;1521
2083000;10112
3024500;3213
3036400;10201
4031000;10520
5059000;10121
6021000;1423
7112010;10325
8011190;2209
10082100;1415
15100000;10422
22029000;11224
25232990;23206
28332990;20193
28416100;20193
29121200;20291
29156019;20291
29159023;20291
29181400;20932
29241922;20291
29242944;20291
29242995;20291
29252930;20291
29332923;20291
29339943;20291
30029020;21106
30039077;21211
30043936;21211
30049026;21211
39162000;22293
41142020;15106
1023911;1512
2101100;10121
3022200;3213
3035700;10201
3048940;10201
3062700;3116
3079100;3221
11081400;10651
12129400;1393
19059020;10929
21011200;10821
28241000;20193
28352500;20193
29049090;20291
29052210;20291
29081912;20291
29109010;20291
29153992;20291
29159031;20291
29159039;20291
29171930;20291
29209062;20291
29224940;20291
29335941;21106
29336915;20291
29372120;21106
29399112;21106
30039066;21220
30049029;21220
31025011;20126
32019020;20291
32099011;20711
35021100;10996
37023900;20991
38249021;20991
39069019;20312
39119029;20321
39171029;22218
39173230;22234
39261000;22293
41131090;15106
42031000;14126
44111490;16218
45019000;16293
48025592;17214
2064100;10121
3019590;3221
3019992;3213
3025400;3213
5119920;1521
8043000;1199
10062020;10619
13019090;2101
20021000;10317
22059000;11127
23066000;10414
29153942;20291
29182950;20291
29221995;20291
29335312;21106
29335931;21106
29339119;20291
29412010;21106
30012010;21106
30032021;21211
39139012;20312
2042200;10112
8101000;1211
15041011;10431
25252000;8991
27022000;19225
28323010;20193
29199090;20291
29221929;20291
29309094;20291
32019012;20291
34021900;20614
37024100;20991
37024429;20991
38089219;20525
38112150;20932
39019090;20312
39139011;20312
39173290;22293
3025600;3213
3029000;10201
3045300;10201
3046290;10201
4014021;10520
20081900;10996
20087090;10317
22071010;19314
28053010;20193
29094950;20291
29153952;20291
29157019;20291
29159033;20291
29181100;20932
29181500;20932
29214323;20291
29242992;20291
29319042;20291
29335911;21106
29339132;20291
29339179;20291
29362953;21106
29362959;21106
29371930;21106
30032052;21220
30049095;21211
37025419;20991
38089324;20517
39046110;20312
39051990;20312
40131090;22111
41041114;15106
44101991;16218
3039000;10201
7133110;1415
12051090;1164
12077090;2209
21039021;10953
25201011;8100
27079100;20291
28209040;20193
28273110;20193
29012300;20215
29215120;20291
29242914;20291
29269092;20291
29333982;20291
29336999;20291
29369000;21106
30019031;21106
30021013;21211
30039031;21220
38112910;20932
44130000;16218
44189000;16226
7031021;1415
7099300;1211
10079000;1113
12129200;1393
28046900;20991
28332930;20193
28362010;20118
29209059;20291
29213012;20291
29309051;20291
29319031;20291
29333200;20291
29350096;21106
30021013;21220
30039085;21211
32030029;20291
33019010;20932
37024310;20991
38029030;20193
38089419;20622
38123029;20932
38247190;20991
39019050;20312
2074200;10121
3045500;10201
3052000;10201
3061690;10201
3062990;3213
3075100;3116
8059000;10317
8134090;10317
9083200;10953
9096220;10953
12092500;1415
29037300;20291
29147090;20291
29212990;20291
29214922;20517
29241929;20291
29252923;20291
29333392;20291
29333981;20291
29349961;20291
29419043;21106
29419069;21106
30021025;21211
30033918;21211
30039014;21211
30039033;21220
30039091;21211
30039099;21220
30042063;21220
30043981;21211
30045060;21211
30049059;21211
31031020;20126
38012010;23991
38249081;20932
39129031;20291
39172300;22293
40023900;20339
40094100;22196
46021200;16293
29337210;20291
2042300;10112
3023900;3213
9096110;1211
19049000;10627
22071090;19314
26080090;7294
28044000;20142
28152000;20118
29159021;20291
29333921;20517
29335540;21106
29396990;21106
30043926;21211
30043931;21220
30043935;21211
30063012;21238
33011990;20932
33052000;20631
34029011;20291
34049012;20291
38070000;20291
38089996;20517
39129010;20291
40021919;20339
40116100;22111
44083992;16218
44092100;16102
44129900;16218
10063029;10619
11063000;10694
12059090;1164
15121919;10422
16010000;10961
17019100;10724
20071000;10996
21032090;10953
25199010;8991
25293000;8991
28112100;20142
28209020;20193
28369919;20193
28419049;20193
29012200;20215
29012410;20215
29054400;20291
29055990;20291
29242993;20291
29342033;20291
29419092;21106
30033917;21220
30045050;21211
38061000;20291
38119090;20932
39013090;20312
39123121;20291
44111391;16218
48025610;17222
3027400;3213
12076010;1415
15071000;10414
15122910;10422
22086000;11119
23070000;11127
26140010;7294
28309019;20193
28399050;20193
29071300;20291
29094100;20291
29121922;20291
29141300;20291
29161220;20223
29211941;20291
29309031;20291
29336914;20291
29339159;20291
29349112;20291
29350025;21106
29395990;21106
29419019;21106
29419041;21106
30032061;21220
30039035;21211
30039084;21220
32042011;20291
32072010;20711
32100010;20711
35079024;20291
38089311;20525
38249036;20991
39045090;20312
39172200;22234
44185000;16293
1042090;1539
3028933;3124
5080000;3221
7097000;1211
7115900;10325
8045010;1334
12076090;2209
15041019;10431
23025000;10694
26060011;7219
28230010;20193
28309015;20193
28353920;20193
28419022;20193
29144099;20291
29201910;20517
29223921;20291
29319034;20291
29335932;21106
29362919;21106
30059090;21238
32064100;20193
38237030;20291
40119910;22111
3019390;3221
3025900;3213
3047400;10201
3081100;3221
5119190;3116
7143000;1393
9072000;10953
13021110;10996
13021999;2209
13023910;10996
16029000;10121
25111000;23991
25161100;8100
28151200;20118
28415019;20193
29021990;20291
29211915;20291
29224920;20291
29334930;20291
29335943;21106
29372960;21106
29379030;21106
29399119;21106
30032059;21211
38249086;20517
39206291;22218
41063190;15106
2074100;10121
3024500;3221
6029029;1423
20086090;10317
20087010;10317
28372019;20193
28441000;24491
29012100;20215
29037919;20291
29095019;20291
29213019;20291
29319061;20941
29362710;21106
29396921;21106
30032091;21220
30049049;21211
32082011;20711
38159099;20941
39046190;20312
39079999;20321
39204900;22218
39206219;22218
48022090;17214
3032500;10201
3062500;3213
3071900;3221
5119930;1598
7032010;1415
13019090;2209
20084010;10317
20089300;10317
20093900;10333
26151090;7294
28353990;20193
28444020;20193
29051730;20291
29091990;20291
29182922;20932
29241942;20291
29339963;20291
30021034;21220
30039016;21211
30049068;21220
30064011;32507
37059090;74200
38259000;38114
39095019;20321
40012200;2209
41079290;15106
42022100;15211
47032900;17109
2101200;10121
3023900;3116
3049222;10201
4069030;10520
12119090;1211
12122900;3116
15132910;10422
16055800;10961
19024000;10945
22051000;11127
25112000;8916
29031910;20291
29081921;20291
29141940;20291
29213090;20291
29214680;20291
29335991;21106
29349943;20291
30033992;21220
30039096;21220
30044040;21211
30049019;21211
30069110;22293
32041912;20932
32110000;20738
33012913;20932
38247900;20991
39069021;20312
40012910;2209
40115000;22111
1041011;1539
1051300;1555
3019999;3124
3028100;3116
20093100;10333
25202090;23923
25222000;23923
27040090;19101
27079910;20223
27101921;19217
27101993;19225
